,property_id,property_type,price,city,province_name,latitude,longitude,baths,bedrooms,date_added,agency,agent,Total_Area,year,month,date
158608,17305577,House,22000000,Rawalpindi,Punjab,33.543004,73.067576,5,5,2019-07-17,Usman Property & Builders,"Malik Aamir, Zafar Iqbal",2722.51,2019,7,2019-07-01
158609,17305585,House,18000000,Rawalpindi,Punjab,33.543004,73.067576,3,3,2019-07-17,Usman Property & Builders,"Malik Aamir, Zafar Iqbal",2722.51,2019,7,2019-07-01
158610,17305598,Flat,15500000,Rawalpindi,Punjab,33.543004,73.067576,3,3,2019-07-17,Usman Property & Builders,"Malik Aamir, Zafar Iqbal",2722.51,2019,7,2019-07-01
158611,17305639,Flat,15500000,Rawalpindi,Punjab,33.543004,73.067576,3,3,2019-07-17,Usman Property & Builders,"Malik Aamir, Zafar Iqbal",2722.51,2019,7,2019-07-01
158612,17305807,House,8000000,Rawalpindi,Punjab,33.553583,73.068339,4,4,2019-07-17,Usman Property & Builders,Sub Zafar Iqbal,13884.801,2019,7,2019-07-01
158613,17305824,House,8000000,Rawalpindi,Punjab,33.553583,73.068339,4,4,2019-07-17,Usman Property & Builders,Sub Zafar Iqbal,13884.801,2019,7,2019-07-01
158614,17305878,House,26000000,Rawalpindi,Punjab,33.553583,73.068339,6,6,2019-07-17,Usman Property & Builders,Sub Zafar Iqbal,10890.0,2019,7,2019-07-01
158615,17305894,House,9500000,Rawalpindi,Punjab,33.553583,73.068339,4,4,2019-07-17,Usman Property & Builders,Sub Zafar Iqbal,1361.255,2019,7,2019-07-01
158616,17305902,House,16000000,Rawalpindi,Punjab,33.553583,73.068339,4,4,2019-07-16,Usman Property & Builders,Sub Zafar Iqbal,2722.51,2019,7,2019-07-01
158617,17306244,Flat,9500000,Rawalpindi,Punjab,33.549693,73.130536,2,1,2019-07-17,Kingz Real Estate & Builders,Asad Naeem,11162.291,2019,7,2019-07-01
158618,17306272,House,35000000,Rawalpindi,Punjab,33.573152,73.110881,4,4,2019-07-17,Mahr Brothers,Mahr Sabir,5445.0,2019,7,2019-07-01
